,Agent,Home Type,Year Built,Address,Bedrooms,Bathrooms,Square Feet,Price,Sold Date,Sold Price
181,,single_family,1949.0,2635 SW 192nd Ave,4.0,2.0,9583.0,615000.0,2020-06-16,420000.0
182,,townhomes,1980.0,6687 SW 180th Ave,3.0,3.0,3920.0,520000.0,2022-05-20,502100.0
183,,single_family,1978.0,1020 SW 193rd Ct,3.0,3.0,6970.0,610000.0,2014-12-29,255000.0
184,,condo_townhome,,12802 SW Incline Drive,3.0,,,489990.0,,
185,,single_family,,12400 SW Strobel Rd,3.0,,,821990.0,,
186,,single_family,1972.0,20780 SW Wyngate St,4.0,2.0,9148.0,495000.0,2021-03-19,360000.0
187,,condos,2004.0,14705 SW Sandhill Loop Unit 204,2.0,2.0,,360000.0,2014-12-23,180000.0
188,,single_family,1950.0,11970 SW Denney Rd,2.0,1.0,55757.0,1575000.0,2005-06-30,325000.0
189,,condos,1979.0,11721 SW Boones Bend Dr Unit 9,2.0,1.0,,279900.0,,
190,,single_family,1960.0,15960 SW Division St,4.0,2.0,14375.0,599900.0,2001-05-03,165000.0
191,,single_family,1994.0,224 SW 212th Ave,3.0,3.0,6098.0,649000.0,2014-10-16,303000.0
192,,townhomes,2003.0,6365 SW Vinwood Ter,3.0,3.0,1742.0,424900.0,2019-12-17,306000.0
193,,single_family,2022.0,8230 SE Blanton St,3.0,3.0,,549990.0,,
194,,single_family,1999.0,20364 SW Inglis Dr,4.0,4.0,43560.0,1799000.0,2006-05-18,1280000.0
195,,single_family,1966.0,11770 SW Blakeney St,3.0,3.0,6970.0,689900.0,2021-08-06,645000.0
196,,single_family,1977.0,20475 SW Jaylee St,5.0,3.0,6970.0,659950.0,2015-05-15,369000.0
197,,single_family,1976.0,13415 SW Barlow Rd,3.0,3.0,6970.0,675100.0,,
198,,condos,2007.0,760 NW 185th Ave Unit 306,2.0,1.0,,299000.0,2016-02-08,157000.0
199,,single_family,1994.0,4446 SW Appletree Pl,3.0,3.0,4792.0,525000.0,2007-04-12,259900.0
200,,condos,1986.0,9540 SW 146th Ter Apt 1,2.0,2.0,,299900.0,2017-12-21,194000.0
201,,townhomes,2003.0,7035 SW Lorna Ter,3.0,3.0,1742.0,395000.0,2008-09-23,194840.0
202,,single_family,1985.0,1235 SW 211th Pl,3.0,2.0,5663.0,525000.0,2008-03-06,270000.0
203,,single_family,1963.0,5065 SW 163rd Ave,3.0,2.0,7405.0,489900.0,1996-12-20,149000.0
204,,townhomes,2004.0,14950 SW Conor Cir,3.0,3.0,,430000.0,2004-08-25,159900.0
205,,single_family,1976.0,2185 SW 189th Ave,3.0,2.0,9148.0,590000.0,2017-05-05,360000.0
206,,single_family,1975.0,6550 SW 203rd Ave,3.0,2.0,8712.0,519900.0,2018-08-31,360000.0
